,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
214,2013,MCLEAN MORTGAGE CORPORATION,WV,5,1315,259.0,0.0007834782023256493,#E46A5D
215,2013,MONARCH BANK,DC,144,57067,343.0,0.012705682234376165,#B42D8D
216,2013,MONARCH BANK,DE,24,6655,279.0,0.003083412445681207,#B42D8D
217,2013,MONARCH BANK,MD,2235,631557,258.0,0.024818203906586817,#B42D8D
218,2013,MONARCH BANK,VA,2255,557626,230.0,0.017415687454706022,#B42D8D
219,2013,MONARCH BANK,WV,10,2361,226.0,0.0014066859587002721,#B42D8D
220,2013,MOVEMENT MORTGAGE LLC,DC,27,11854,379.0,0.0026392338340248318,#EFF821
221,2013,MOVEMENT MORTGAGE LLC,DE,3,649,198.0,0.0003006964203226301,#EFF821
222,2013,MOVEMENT MORTGAGE LLC,MD,255,66199,247.0,0.0026014125097372693,#EFF821
223,2013,MOVEMENT MORTGAGE LLC,VA,3339,739117,201.0,0.02308398579775683,#EFF821
224,2013,MOVEMENT MORTGAGE LLC,WV,4,742,182.0,0.00044208427842253365,#EFF821
225,2013,NFCU,DC,234,87179,332.5,0.019409968484600203,#8607A6
226,2013,NFCU,DE,119,27350,205.0,0.012671875340252594,#8607A6
227,2013,NFCU,MD,3422,1021924,274.0,0.04015839933534871,#8607A6
228,2013,NFCU,VA,4416,985496,208.0,0.030778855942626356,#8607A6
229,2013,NFCU,WV,159,32540,185.0,0.019387361751845345,#8607A6
230,2013,NVR MORTGAGE FINANCE INC,DC,52,19874,393.5,0.0044248467367478915,#DD5F65
231,2013,NVR MORTGAGE FINANCE INC,DE,292,76981,264.5,0.035667043348006765,#DD5F65
232,2013,NVR MORTGAGE FINANCE INC,MD,1673,590656,345.0,0.023210923236776638,#DD5F65
233,2013,NVR MORTGAGE FINANCE INC,VA,1615,564345,340.0,0.017625534205051537,#DD5F65
234,2013,NVR MORTGAGE FINANCE INC,WV,37,5764,155.0,0.003434196470117903,#DD5F65
